,FTg113,FTg115,FTg117,FTg118,FTg119,FTg124,FTg125,FTg126,FTg127,FTg130,FTg133,FTg140,CFTg89,CFTg91,CFTg99,CFTg106,CFTg107,CFTg120,CFTg121,CFTg122,CFTg123,CFTg134,CFTg135,CFTg136
Name,Tg0,Tg0,Tg0,Tg0,Tg0,Tg0,Tg0,Tg0,Tg0,Tg0,Tg0,Tg0,Tg1000,Tg1000,Tg1000,Tg1000,Tg1000,Tg1000,Tg1000,Tg1000,Tg1000,Tg1000,Tg1000,Tg1000
38,0.942521982,1.091422546,1.338998956,0.849486331,0.849763863,0.961152421,1.282540137,1.047521146,0.80094116,0.978660025,0.714130322,0.850980209,0.999772241,1.028254675,0.70815047,0.66799603,0.963581404,0.883633383,0.869242874,1.079006784,1.130819962,0.958817602,0.880960733,0.842177753
39,0.800924329,1.077569737,0.970526577,1.011938892,0.997247248,1.000177809,0.755603789,1.045177582,1.166373542,0.857856096,0.970325741,1.121609935,1.112312944,0.88517013,1.229236726,1.023873839,1.15561927,1.147957453,0.828139579,0.664391719,1.014779503,0.754114774,1.023432172,0.772177079
40,0.929885776,0.980067347,0.984573277,0.941922271,0.966295388,1.003140658,0.907522329,0.938493544,0.958554189,0.914024556,0.944246433,0.97210869,0.981759551,0.910154219,0.962229821,0.986646926,1.021110967,0.94504909,0.980169493,0.978219493,1.011199078,1.012843397,0.884084797,0.966094425
41,1.357626401,1.344231175,1.271373397,1.141974013,1.229327617,1.186975586,0.858513944,1.3904555,1.725530146,1.252024454,0.388761656,1.208312877,1.240008674,1.168073058,1.210681933,1.482159367,0.587268238,1.367013545,0.816227763,1.425693128,1.005946073,1.38312984,1.296847156,0.848986183
42,0.975646096,0.998476798,1.002353785,0.892812956,0.820482044,0.470634638,0.663946475,0.534601667,0.518622188,1.035603664,0.564220155,0.411264185,0.890358834,0.910779158,1.154155841,0.644060009,1.048374086,0.974645191,0.872056447,0.810575264,0.714640002,0.89315443,1.018998629,1.173949523
43,1.052420013,0.881903157,0.793643199,0.925038062,0.985541356,1.092477126,1.239425139,0.686741341,1.077447439,1.748686438,1.569952164,1.050833309,0.552785078,0.57573923,0.974316852,1.186821664,0.996751916,1.505672512,1.384519533,1.021803943,0.838558702,0.638254083,0.956243189,1.379978731
44,1.195743477,0.790889359,0.878439481,0.786574095,0.843689103,0.796536872,0.891663804,0.669628117,0.745916524,0.867558039,0.927990323,0.917629896,1.05789787,0.928137251,1.090401817,0.776265722,0.920087852,0.944553801,0.808621872,0.931014315,0.634500907,0.856133291,1.253285532,0.893785882
45,1.074528409,1.005438201,0.983253754,0.930306294,1.003351044,1.011752958,0.724260965,0.955588411,1.381580141,1.03880349,1.496023669,1.196741387,1.040776605,0.884030464,1.050072351,1.0509349,1.128350559,1.11262887,1.316794688,0.944269264,1.149532874,0.777059946,0.880592012,1.224250504
46,0.979521026,1.060344373,0.837316008,1.177619425,1.073048761,1.03408162,0.800376502,0.910414237,1.019184933,1.288407435,1.260006009,1.0718938,0.936936986,0.762151305,0.782744831,1.042385227,1.181681108,1.107299536,1.203651843,0.973968617,1.159942442,0.946973667,0.926772988,0.869859427
47,0.921533392,0.96454137,0.886931775,0.937152543,0.907721908,0.84186624,0.887815117,0.906673258,0.979318106,0.881623449,0.82544171,0.992373338,0.923950113,0.879909701,0.872626839,0.965424926,1.049626669,0.882183106,0.916269461,0.870762555,0.867488445,0.981081,0.859079952,0.916541335
48,0.962188177,0.830784538,0.921174247,1.085604312,0.896002783,0.962268124,1.189455702,0.997021529,0.922920122,0.994503669,0.982981159,0.885747978,1.067992751,1.04321143,0.85489522,0.89952088,0.985045871,0.992297872,1.016223642,0.965214186,0.868779514,1.282601156,1.047881952,0.939246322
49,0.909975803,1.029986438,0.930046033,1.099678534,0.926256777,0.97803362,0.94254395,0.895047254,1.098081094,0.907257427,0.862783264,1.050969932,0.840871029,0.857096108,0.809748983,0.910243607,1.058889219,1.003604084,0.903213185,1.017332293,1.087981633,0.959585419,0.830149996,1.04398463
50,0.518771829,0.596179969,0.753603582,0.273572485,0.362338686,0.81766732,1.032465923,0.56104345,0.368795889,0.424280906,1.508618046,0.869740152,0.390126493,0.586350437,0.454908242,1.453356061,1.319422383,0.526398311,0.396663455,0.588250389,0.684750602,0.621345364,0.761601077,0.696384691
51,0.450469219,0.43131633,0.664084785,0.489842801,0.264880116,0.700907068,0.766535746,0.408374506,0.341380226,0.267751764,1.550423582,0.842658378,0.48759425,0.480116101,0.489465836,1.472363705,1.50084416,0.535350961,0.426800234,0.362005761,0.591354775,0.750495766,0.554832308,0.562938078
52,0.810569414,1.12356586,1.035248735,1.143977772,0.937853569,0.800070294,1.002022233,1.220677693,1.074182853,0.799017899,0.736451334,0.928753247,0.932604711,0.925036843,0.802243032,0.899526892,0.946316795,0.912374964,1.029745485,0.831657068,0.918234745,1.228125116,0.958993451,1.0029352
53,0.974199872,1.140685624,0.900066906,0.741382979,0.889110175,1.299310584,0.946280988,1.076156006,0.818730477,1.015261382,2.048835666,1.29803352,1.154807245,1.032526339,1.041108963,1.000778997,1.842750823,0.834145852,0.979610918,0.969975815,0.970783839,1.423748199,0.607879629,1.031566906
54,0.662922131,1.082852339,0.776018523,0.737864852,1.007160443,0.789976862,0.92299287,1.105443881,1.099791608,1.486280038,0.824400866,1.021853735,0.663583254,0.890492897,0.73219434,0.882811941,0.628618822,0.938660992,0.850949297,0.678536724,1.443483541,0.657260475,0.869305905,1.341947373
55,0.899433881,0.97616841,0.951042675,0.990096645,1.00409309,0.941712913,0.939336489,1.010268248,0.920734619,0.981687679,0.924567465,0.943030328,0.857254879,0.809135304,0.894412423,0.922113598,0.979779729,0.965067212,0.984977713,0.907766585,0.992365405,0.945309626,0.902821668,1.011236667
56,1.105027877,1.104566547,0.835725602,1.022428091,0.688360674,1.026604999,1.249456427,1.029051665,1.473904779,1.024795663,1.14795153,1.064928359,1.078657397,0.930485387,0.798639876,1.271757653,0.734715566,1.19210625,1.428928817,1.007242968,0.81778146,0.973399839,1.166766244,1.144809886
57,1.216079848,1.017368854,0.957108965,1.102698857,1.178412819,0.887846439,0.757589061,1.026451215,1.095944302,1.303514241,1.023183927,0.916557843,0.942961589,1.130254893,0.966285491,1.153917429,1.276060375,0.92897026,0.912872049,0.919661405,0.837004295,0.989282432,0.969162924,0.803806937
58,0.967569563,1.018439525,0.947360717,0.972801179,0.962514401,0.951918182,0.902276663,0.965911237,1.032034805,0.932737779,1.017058046,0.967099095,0.990753067,0.952625917,0.891407659,0.95908009,1.018576784,0.98388525,0.984565706,0.986350158,1.035565083,0.987466101,0.903857231,0.94640835
59,0.941573538,0.9835551,0.963503626,0.986758767,0.924609239,0.979785332,0.955816699,0.981135073,0.897010491,0.731687568,0.930135267,0.924716245,1.026120128,0.924308997,0.990394952,0.982249987,0.99065299,1.088194038,1.062526512,1.040726808,1.031510327,1.02030604,0.980326854,0.948405118
60,1.291654051,0.896833663,0.889668895,0.766601456,0.929286437,1.099148208,0.750810456,0.9356912,1.035498986,1.250255362,1.21174044,0.904779323,0.655047414,0.595872694,1.027252854,1.12701415,1.455369293,1.080734745,0.667577818,0.825886276,0.676941016,0.713283996,1.105060223,0.822386913
61,1.077859398,0.926195175,0.683189696,1.124725952,1.263441925,0.838117012,0.586490321,0.911619955,0.920306493,0.786063495,0.94391105,1.097319883,0.399070884,0.400649022,0.854043776,0.947527753,1.533241373,1.015773553,1.032618654,0.660974135,1.448266096,0.480933891,0.91036689,1.037463514
62,1.117677492,0.99498233,1.087789675,0.983692788,1.104598454,0.982039455,1.008922779,0.841574668,0.679259643,0.699834635,0.772270578,0.965921073,0.985105252,1.358211751,0.893403025,1.001834748,1.248291886,1.311587786,1.047251886,1.272949414,0.611247708,0.666221034,0.720990112,0.891034809
63,0.58235795,0.880228501,4.210400626,0.71189334,0.822102009,0.684344183,0.76571404,0.856679724,0.864923687,0.623325097,0.505648899,0.806223369,0.745959338,0.903291934,0.656190371,0.906154487,0.901178869,0.852900536,0.887463186,0.690567686,1.295625497,0.926939605,0.64784884,0.83472204
64,1.008408111,0.929512678,0.82395095,1.057039048,0.934084269,0.967173958,0.62082518,0.823093626,1.103122877,0.751656537,1.319407224,1.054796837,0.768064673,0.997578549,1.001877562,1.021138153,1.325007544,0.728267895,0.941593118,0.644592493,0.979972131,1.035413129,1.012957279,0.755670167
65,0.930608017,1.029658437,0.900151164,0.932348981,0.906659419,1.17972439,0.767626121,0.963276118,1.166827338,0.996313471,0.956730073,1.15422433,0.829122521,0.828828128,0.91530504,1.013599931,1.058597233,0.926652664,0.982119757,0.860285942,1.019572731,0.784994737,0.801008598,0.806426392
66,0.937629311,1.031836424,1.063590591,1.029127008,0.881415925,0.964933126,1.095117798,0.962144783,0.918527247,0.92997522,1.022009498,0.974750532,1.071670646,1.026477866,0.863073673,0.885119173,0.904390285,0.875499469,1.06640608,0.950990349,0.974495435,1.099425784,1.191598367,0.972896128
