Name,F109,F112,F114,F116,F129,F132,F137,F138,F141,FTg113,FTg115,FTg117,FTg118,FTg119,FTg124,FTg125,FTg126,FTg127,FTg130,FTg133,FTg140
,WT,WT,WT,WT,WT,WT,WT,WT,WT,Tg,Tg,Tg,Tg,Tg,Tg,Tg,Tg,Tg,Tg,Tg,Tg
Uric acid,0.858614777,1.669045646,0.352745273,0.644847466,0.644207604,0.606756214,0.671804084,1.621985135,0.770269926,0.476737653,0.963316902,1.003033722,1.99342783,1.115714017,0.749808128,0.802786192,0.656779982,0.713553458,0.367152228,1.071809377,0.539573374
