,F109,F112,F114,F116,F129,F132,F137,F138,F141,CF92,CF93,CF94,CF95,CF97,CF98,CF100,CF101,CF104,CF108,FTg113,FTg115,FTg117,FTg118,FTg119,FTg124,FTg125,FTg126,FTg127,FTg130,FTg133,FTg140,CFTg89,CFTg91,CFTg99,CFTg106,CFTg107,CFTg120,CFTg121,CFTg122,CFTg123,CFTg134,CFTg135,CFTg136,QC3,QC4,QC5,QC6,QC7,QC8
Compound,WT0,WT0,WT0,WT0,WT0,WT0,WT0,WT0,WT0,WT1000,WT1000,WT1000,WT1000,WT1000,WT1000,WT1000,WT1000,WT1000,WT1000,Tg0,Tg0,Tg0,Tg0,Tg0,Tg0,Tg0,Tg0,Tg0,Tg0,Tg0,Tg0,Tg1000,Tg1000,Tg1000,Tg1000,Tg1000,Tg1000,Tg1000,Tg1000,Tg1000,Tg1000,Tg1000,Tg1000,QC,QC,QC,QC,QC,QC
4-O-Galactopyranosylxylose,0.840023737,0.77995281,0.918753131,0.957540243,0.961408263,0.735045686,0.829655673,0.935808814,0.910254667,1.400861959,0.786384141,1.126703635,0.780419636,0.897761992,0.801750275,0.876860325,0.794497528,1.002194348,1.059243959,0.667400536,0.76075623,0.815969069,0.848068196,0.765038832,0.786679383,0.750668482,0.878200515,0.828284585,0.650891462,0.730219149,1.021374896,0.821074325,0.818214051,0.810320371,0.939403468,0.97681351,0.960682789,0.853686412,0.836034135,0.902439746,0.804590174,0.756005967,0.989586992,0.997779401,1.012039608,0.83429242,1.011264491,1.010888775,1.010505264
5-AMINOPENTANOATE,1.136115907,0.955254145,1.194014692,1.27462057,0.921454441,1.049128737,1.217414551,1.38623123,0.842592066,0.88671538,0.865425105,1.136241046,1.195054872,1.085321754,0.966173612,0.919366208,1.097976533,0.767731351,1.20287857,0.816137425,1.150658336,1.139577712,0.897561839,0.886318925,0.862465563,0.758142992,0.893418008,1.120078751,0.728295051,0.818495029,1.022553384,1.110702618,0.939866936,1.307358417,0.826030675,0.703882689,1.096965735,1.121623149,1.255253516,1.025197383,1.16858878,0.976544486,1.160471997,0.984483606,0.992234495,1.006888862,0.994993584,1.006042569,1.006861312
5-Hydroxyindoleacetic acid,1.254375976,1.295370673,0.521485617,2.028110814,1.184392073,1.147417936,0.576657308,0.563031709,0.745631153,0.648169983,0.958436579,0.683152401,0.608955158,0.842720325,1.222410934,1.205505827,1.027824909,1.401648801,0.958198602,1.487308086,0.839377596,0.824962414,0.938142246,1.830246206,0.631202907,1.534951394,0.85846757,0.645439765,1.203072093,1.144903834,0.480124101,0.961337668,0.759008798,0.695794275,0.772645687,1.912937365,0.66405771,0.916034125,0.567591786,0.914636321,0.816996363,0.558927913,0.751351267,0.984689923,1.006990282,1.347988181,0.959218942,0.945439418,1.038781665
5-Methyldeoxycytidine,0.807835423,0.545963339,0.337175368,0.661034049,0.702559438,1.04308579,0.866915128,0.998613958,0.7848725,1.127047582,1.145050258,1.17147688,0.604276431,1.16274597,0.966726511,0.796766814,1.104740798,1.553975665,0.778742238,0.905958297,1.497667825,0.817091371,0.980280368,0.909846857,0.929084012,0.701725768,1.124873366,0.091166923,0.94377769,1.251032692,1.180886417,1.200800724,0.998783551,0.759803914,1.206193444,0.701365955,1.048820421,0.273467452,1.087268508,1.141022704,1.11348289,1.003222477,1.007537133,1.010832958,0.984271641,0.984718373,1.01325642,1.011608376,1.012181055
5'-METHYLTHIOADENOSINE,1.827493615,1.074708847,1.006209238,0.919889405,1.197940919,1.232929912,1.221394645,1.004175098,1.088844253,0.99394952,0.978351727,0.925698311,0.723511056,1.021361523,0.964143994,0.904471259,1.173432546,0.769679297,1.1857018,1.68383325,1.446061495,1.237934703,1.228930842,1.517762611,1.201353753,1.206135352,1.175888879,1.216233396,1.462938207,1.081954763,1.530594735,1.257339743,1.347385187,1.375023071,1.265785143,1.44791573,1.579326593,1.076322326,1.492969243,1.370664737,1.117498667,1.469183165,1.316778224,0.984001948,1.003407823,0.985542719,1.015390317,0.983512684,1.185990471
9-Octadecenal,1.021147046,1.137049617,1.101274558,1.089100446,0.811904454,0.902869384,1.046971867,0.980804507,1.031426209,0.995980756,1.108437277,0.926415579,1.05949976,0.978447077,0.878358362,0.986335446,0.876505536,1.005408037,1.005506873,0.897259148,1.055177909,0.905784446,1.012389023,0.827403045,0.902408531,0.990154615,0.889405357,0.990617709,0.787506272,0.871010311,0.970602753,0.937372322,0.989081884,0.880652089,0.779046775,1.006133536,0.872312579,1.143282389,0.842488443,0.943149248,1.128476441,1.066726672,1.129352298,1.004870301,1.03946639,0.991608861,1.005070374,0.994835856,1.004898431
Eicosatrienoic acid,1.025491027,1.089901416,0.846723984,1.147794764,0.828218491,1.057035378,1.079563326,0.975897893,1.233114316,1.197816818,1.100437889,1.056871851,1.156116047,0.918333551,0.757374863,0.897004602,0.970895858,0.976880149,0.983571227,0.795444945,0.977384151,0.871583093,0.973168968,0.912784078,0.79174058,1.002133976,0.908085436,0.890729394,0.858888009,0.679551209,0.940307602,0.807028057,0.828958737,0.861812088,0.784301317,0.870487173,0.873828018,1.021732468,0.794063965,0.831627933,1.364373751,0.90575067,1.023196949,1.005714233,1.004483783,0.948793483,0.978023434,1.005007324,0.995446486
12-HYDROXYDODECANOIC ACID,0.903964086,0.909731809,0.951742272,1.170051469,0.914440615,0.903885822,0.8893917,0.793822659,0.934806696,1.072820332,0.887004869,1.2260288,0.867159153,1.12163134,0.973886671,1.095880196,1.272479503,0.967527523,1.015591459,0.944121365,0.881928829,1.177969994,0.904036146,0.913580813,1.243360326,0.814401732,0.871951396,1.069908847,1.067781211,1.084919068,1.082737183,0.915151119,0.866837972,0.982870447,1.268346158,1.114278845,0.918984034,0.893860322,0.949816139,0.973522115,0.981129689,0.8281843,0.937398834,0.98852465,0.967078831,1.030919544,1.004098803,1.004156237,1.004119277
13-hydroxyoctadecanoic acid,0.02852311,2.983930945,1.756375398,1.281916876,1.855435279,2.592117075,0.008054104,2.136545443,0.032235974,0.012156967,1.491476139,2.201560168,2.394295053,2.56982898,2.314465961,0.021123159,2.975688043,1.607678619,0.014168519,0.782500443,2.366238497,0.03117312,0.012371424,0.006297249,0.014480795,1.987582911,1.249048531,0.010196995,0.011384371,0.044724271,0.030099813,0.027043917,0.009841883,0.031733097,0.013867561,1.734014519,0.04615737,0.023711747,2.893473174,0.014978573,0.018407672,2.112371273,0.011156865,0.966634057,1.004842804,0.994440799,1.00213012,1.004612083,1.005844013
14-Hydroperoxy-H4-neuroprostane,0.502120633,0.765094213,0.732450596,0.582898253,0.787959874,0.811226311,0.708269698,0.782214096,1.542585473,0.747240122,0.611677003,1.004447762,0.844268207,0.788511999,0.715640604,5.545210548,0.853670668,1.020527839,1.027225914,0.769026036,0.835449914,0.683690569,0.770970836,0.616897374,0.692511906,0.673622903,0.65765464,0.63611364,0.764452943,0.781955392,0.630430709,0.42704131,0.603502156,0.551698227,0.75616037,0.770179106,0.895275081,0.725077944,0.608604655,0.82130362,0.711565842,0.626350192,0.858352331,0.983400797,0.99932015,0.984852815,0.98605594,1.012173013,1.012346753
