Compound,16-HETE,Myristoylcarnitine,Propionylcarnitine,Octadecenoic acid,Methyladenosine,Oleoylglycerophosphoinositol,2-AMINOETHYL DIHYDROGEN PHOSPHATE,Docosapentaenoic acid,4-AMINOBUTANOIC ACID,4-O-Galactopyranosylxylose,5-AMINOPENTANOATE,5-Hydroxyindoleacetic acid,5-Methyldeoxycytidine,5'-METHYLTHIOADENOSINE,9-Octadecenal,Eicosatrienoic acid,12-HYDROXYDODECANOIC ACID,13-hydroxyoctadecanoic acid,14-Hydroperoxy-H4-neuroprostane,"17,21-DIHYDROXY-4-PREGNENE-3,20-DIONE",Trihydroxyvitamin D3,Acetylcarnitine,Acetylcholine,ADENINE,ADENOSINE,Adrenic acid,ALANINE,Arachidonic acid ethyl ester,ARGININE,Argininosuccinic acid,AZELAIC ACID,C16 Sphingosine,Campesterol,CARNOSINE,Cer(18:1/18:0),Cholesterol,CITRATE,CITRULLINE,CMP,CREATINE,Cysteineglutathione disulfide,CYTIDINE,Cytidine diphosphate choline (CDPcholine),CYTOSINE,D-Aspartic acid,DEOXYCARNITINE,DESMOSTEROL,DG(16:0/18:0/0:0),DG(20:2/0:0/22:6),DG(20:4/24:0/0:0),DG(22:0/0:0/20:4),Docosatrienoic acid,Dodecanoic acid,D-PANTOTHENIC ACID,dUMP,Ergothioneine,gamma-Glutamylglutamic acid,GLUTAMIC ACID,L-GLUTAMINE,GLUTATHIONE,Glycerophosphocholine,GLYCINE,GLYCOCHOLATE,GUANINE,Guanosine,HISTIDINE,Homoanserine,HYPOXANTHINE,INOSINE,JASMONATE,L-AMINOCYCLOPROPANE-1-CARBOXYLATE,LAUROYLCARNITINE,LEUCINE,Linolenelaidic acid,Methionine,L-OLEOYL-RAC-GLYCEROL,LYSINE,LysoPA(0:0/16:0),LysoPC(14:0/0:0),LysoPC(16:1/0:0),LysoPC(18:0),LysoPC(18:1),LysoPC(18:2),LysoPC(20:4),LysoPC(22:6),LysoPE(0:0/20:0),LysoPE(0:0/20:1),LysoPE(0:0/22:0),LysoPE(0:0/22:2),LysoPE(15:0/0:0),LysoPE(16:1/0:0),LysoPE(18:0/0:0),LysoPE(22:6/0:0),LysoPI(18:0/0:0),Lysyl-Leucine,Lysyl-Proline,METHACHOLINE,Methionine sulfoxide,Methyl linoleate,MG(0:0/22:6/0:0),N-(1-Deoxy-1-fructosyl)alanine,"N,N-dimethyl-Safingol",N1-Acetylspermidine,N-ACETYL-L-ASPARTIC ACID,N-ACETYLNEURAMINATE,"NE,NE,NE-TRIMETHYLLYSINE",NICOTINAMIDE,Cer(d18:1/16:0)( N-Palmitoylsphingosine),Octadecanamide,Octadecenoylcarnitine,OCTADECYLPHOSPHOCHOLINE,Oleamide,Oleic Acid ethyl ester,PA(17:0/0:0),PA(24:0/21:0),Palmitic Acid ethyl ester,Palmitoyl carnitine,PC(16:0/18:2),PC(22:2/20:5),PC(22:6/18:2),PC(24:1/18:4),PC(22:0/18:3),PC(16:0/20:1),PC(16:0/22:1),PC(18:0/20:4),PE(16:0/0:0),PE(17:1/0:0),PE(18:0/22:2),PE(19:1/0:0),PE(22:2/20:5),PE(22:4/15:0),PE(22:6/22:6),PE(24:0/22:4),PE(16:0/22:4),PE(16:0/0:0)-iso2,PHENACYLAMINE,PIPECOLINIC ACID,PS(18:1/0:0),PS(18:3/20:0),PS(18:3/22:0),PS(18:4/22:2),PS(20:1/20:0),PS(20:4/20:0),PS(20:4/22:0),Spermic acid,SPERMIDINE,Sphinganine,Succinyladenosine,TAURINE,TG(14:1/20:5/22:6),TG(18:4/18:3/18:4),Urea,Uric acid,Valyl-Asparagine,Vitamin A,XANTHINE,Cer(d18:0/18:1),Cer(d18:0/18:1)_iso2,Cer(d18:0/20:0),Cer(d18:0/22:0),Cer(d18:1/18:1),Cer(d18:1/18:1)_iso2,Cer(d18:1/20:0),Cer(d18:1/22:1),Cer(d18:1/24:1),Cer(t18:0/16:0),Dihydroceramide,C2-Dihydroceramide ,HexHexCer(d18:1/18:1),HexCer(d18:1/16:0),HexCer(d18:1/18:1),HexCer(d18:1/20:0),HexCer(d18:1/18:0),HexCer(d18:1/24:1),HexHexCer(d18:1/18:0),SERINE,CYSTEINE,Guanidylic acid (guanosine monophosphate),Uracil,Uridine
WT1000,0.414429333,0.992594072,0.564347607,1.093421277,0.811812168,0.782323592,0.772896316,1.322993782,0.874030356,0.786384141,0.865425105,0.958436579,1.145050258,0.978351727,1.108437277,1.100437889,0.887004869,1.491476139,0.611677003,0.785648396,1.085356453,1.106434629,0.826399089,0.986699282,1.693486752,1.046939995,0.980554667,1.611439719,0.896472724,0.954095435,0.727576483,1.11633609,0.899972447,1.229622322,0.766531362,1.026283187,0.887566589,0.817570037,0.671766729,0.921764586,0.750026887,1.169750887,1.036085933,1.126304883,0.71150147,1.073899886,1.049750025,0.984977476,0.914996377,0.793456733,0.704569457,1.01899487,0.543841768,0.819292114,0.95544379,0.817124479,0.818887226,0.925943361,0.934149612,0.8167552,0.906005719,0.571165324,1.010999081,0.814799423,0.949390911,1.071985097,0.938251012,0.866921437,0.820926835,0.875323315,0.961459395,0.887650188,0.831559645,1.102732857,0.820061377,1.301772658,0.920831798,0.840285751,0.800605174,0.874964223,0.770053001,0.85227996,0.726530205,0.744844918,0.668683095,1.334185122,1.017601152,1.206234085,0.915634481,0.932035603,1.019600231,0.90347319,0.932017475,0.910413386,0.797864902,0.911308578,0.836480769,0.635212384,1.034594764,0.887339124,0.849140384,0.973397428,1.10501188,0.728984664,0.828019419,0.768863078,0.912305957,0.89044579,1.148385821,0.947862628,0.941797702,0.997278556,1.858845059,0.290974045,1.163788104,1.446884867,1.076929359,0.895150842,1.733277285,0.822862305,1.521984953,1.113094931,0.877065677,0.88739052,1.085579189,0.865379238,1.037415354,1.026139223,0.819289463,0.874204044,1.101994061,0.947352924,1.104610623,0.846750439,0.789015936,0.96789556,0.29262673,0.84441897,0.895470862,0.861240082,0.724322696,0.958843686,0.808847585,1.233429335,0.867936523,1.237549809,0.931896231,0.863255248,0.884682438,1.443785978,1.034323976,0.774155968,0.594199012,0.771440997,1.471835722,0.915148085,1.155034039,0.928766525,1.782913189,1.174042039,0.946536849,1.07553035,0.896856687,0.798862049,1.592508024,0.577829291,0.835195564,0.640906351,1.444746752,0.871484699,0.988568439,1.054942082,0.898562943,0.700265974,1.138167248,1.041411701,0.527906661,0.559522428,1.260467531,1.20259292
WT1000,2.11950605,1.240913065,0.417462742,1.632711894,0.949134563,0.960421776,0.540502269,2.390305591,1.057152868,1.126703635,1.136241046,0.683152401,1.17147688,0.925698311,0.926415579,1.056871851,1.2260288,2.201560168,1.004447762,0.402646439,0.870648368,1.310255243,0.941721979,0.895129867,1.149602987,1.254603937,1.137708636,1.74170728,1.053196248,0.992744875,0.811459477,1.118845329,1.153536145,0.98964558,0.794988974,1.087752912,0.798318397,1.240214957,0.96856596,1.016089133,0.852781234,0.810494634,1.110827536,0.94699215,0.752025557,1.194281268,1.036997731,0.858177353,1.242201636,2.180089218,2.106537277,0.944118693,1.146371509,0.79025556,1.035804344,1.035301877,0.797301311,0.963092839,0.867034483,0.600880064,0.727416655,0.851566356,1.162739335,0.671392872,0.97241469,1.127759611,1.101418864,1.290316982,1.017607042,1.138693296,0.908553145,1.212737963,1.288835634,1.16911424,1.186589454,1.338875555,1.222681488,1.030323722,0.898321883,1.195388331,1.030580658,1.16147725,1.206542217,1.295667671,1.210012764,1.213064883,0.98071157,1.110285626,0.970249053,0.994771992,1.120592668,1.246717237,0.988424597,0.918224905,1.181180328,1.943811585,0.598631552,0.662651347,1.294785761,0.887839848,1.123430254,1.310474184,0.879650483,0.83026741,1.049910601,0.945323408,1.467332042,1.38629263,1.825982392,1.32601506,1.293340626,0.435835313,1.89631975,0.454881108,0.895631063,1.529924245,1.00320646,0.849602172,2.175105367,0.858055859,1.727064175,0.774476047,0.694987022,0.767145911,1.129521164,1.21056125,1.270271316,1.032681386,1.25253231,1.040067834,1.47018658,1.041560454,0.792582278,0.666503915,1.205720371,1.241690485,0.661724477,1.037940221,0.91347549,1.057390383,1.34822586,1.053188079,1.03314481,1.096926938,1.210220327,1.024386094,1.140105926,1.227410513,0.99861501,1.774827191,0.98841717,1.044265859,0.660552743,0.903647816,1.917275473,1.363261075,0.868095852,1.06243835,1.276700493,0.652224683,0.96557225,1.367431959,1.18605482,0.555428329,1.978634473,1.047649769,0.934648282,1.168788588,1.272176938,1.041032069,1.151220325,1.049152626,0.963539056,0.432026955,1.189770504,1.42652514,0.937735326,0.383214222,0.978587176,1.39666888
WT1000,0.507398222,0.858173573,0.519154302,1.981331638,0.834317477,0.919585958,0.793325849,1.138254863,0.938056084,0.780419636,1.195054872,0.608955158,0.604276431,0.723511056,1.05949976,1.156116047,0.867159153,2.394295053,0.844268207,0.893782738,1.137242191,0.990820228,0.930440786,0.876726216,1.360062759,1.061919131,1.0997273,1.212071744,1.008184922,0.982632762,1.094700812,1.07593364,0.561182321,0.650492759,1.004631889,1.017082999,0.924493554,0.844229172,0.888843428,0.9160416,0.869765882,1.232820621,0.950945557,1.286545274,0.803319183,1.139545699,0.996604585,1.298192961,0.821321274,1.290642108,1.317449407,1.142810458,0.66313612,0.846208289,0.976900975,1.004327026,0.79688174,0.868303438,0.748635643,0.768783553,0.559875743,1.232301546,0.997601055,0.682273088,0.93367012,0.846843195,0.834542203,0.996926682,0.777124792,0.899819219,0.883819417,0.896763433,0.959683289,1.090713483,0.87345976,1.132525987,1.022761709,0.805432119,0.874809876,0.828379835,0.819942266,0.897779059,0.844532305,0.915581455,0.714676472,0.525129916,1.042846824,0.471365686,1.037578391,0.898075582,0.933095071,0.906712071,0.959992783,0.862225434,0.804998508,1.162855224,1.105859909,0.682241684,1.130421617,1.029813476,0.946583888,0.845476909,1.842325653,0.845733014,0.939218653,0.912991689,1.098615831,0.956124262,1.119791485,0.962357431,0.928224866,0.504672506,1.430006418,0.256466665,1.135002594,1.427415828,0.823815678,1.060329347,0.981628408,0.990006117,1.15755332,1.174979579,0.937814369,0.880653374,1.152887779,0.91801508,1.020261882,0.928893957,0.916347761,0.954437071,1.127123489,0.853817643,0.998238881,1.312462513,0.860660222,1.027724177,0.608404403,1.687038598,0.853889426,0.940458762,0.852242615,0.876323328,0.827703533,1.248384128,0.865781861,1.064219092,1.06739203,0.831153356,0.851759185,1.082394671,0.656470322,0.781458429,0.465619277,0.609635771,1.389251212,1.081464621,1.376911866,0.976920659,0.859879525,1.220942748,1.26061385,0.986832309,0.855352324,0.994270683,0.57676329,1.169758089,0.849207545,0.74151147,1.056748074,1.081807658,1.016428906,1.091525826,0.94088751,1.635636718,0.947805757,1.602230218,1.065667949,0.309403959,0.993503077,1.148170468
WT1000,0.62149672,0.874227355,0.550738841,1.396498932,0.978837662,0.903644833,0.788599417,1.442965473,0.981335074,0.897761992,1.085321754,0.842720325,1.16274597,1.021361523,0.978447077,0.918333551,1.12163134,2.56982898,0.788511999,1.484888202,0.834685245,1.047479763,0.913603457,1.982682257,1.570899004,1.108157416,1.053021097,1.433767263,0.950194273,1.005678526,1.087560268,1.137938246,1.296993887,0.871920467,0.796924312,0.968962083,0.927265483,0.775351129,0.90545642,0.950682102,0.560809569,0.884134479,1.127545578,0.851835299,0.680121634,0.961929033,0.977693616,0.906918314,0.956794209,0.93943944,0.820597945,0.875792644,0.418673213,0.801117006,1.032993272,0.982763649,0.823717131,0.933169335,0.975982946,0.700298863,0.949086239,1.104758588,0.782869309,0.883721126,0.90913446,0.966299635,1.02682968,0.86292761,0.978921417,0.90252456,0.893360062,0.980753869,0.94538682,0.819201153,0.933439196,1.293603924,0.913734552,0.983416343,0.761682422,0.931043411,0.727693163,0.893070935,0.731407232,0.870069615,0.777785621,0.804758904,0.855147764,0.670897881,0.916481767,0.971745294,0.847534723,0.852136854,0.973969861,0.98143089,0.885493521,1.770535628,0.694502794,0.476236662,1.015660096,0.854838118,0.906766567,1.246820208,0.841828607,0.734351136,0.85838608,0.859364558,1.268250861,0.883985939,1.081069793,0.83540445,0.843175565,1.379911696,1.561141276,0.634744944,0.999768358,1.348079964,0.720371137,0.986576361,1.861099736,0.868400823,1.717196425,0.7440616,0.906218523,0.941706792,1.035077062,0.900466294,0.89712902,0.879179468,0.798588154,0.932094781,1.24924721,0.953728054,1.368824856,1.219800204,0.897440551,0.873147856,0.554305445,0.979878899,0.743287934,0.884644258,0.959838873,0.928937491,0.780537993,1.189147808,1.007034883,0.756755983,1.065539108,0.970805251,0.8769917,1.15090566,1.33693423,0.881404682,0.488317321,0.919109312,1.46837719,0.9435122,0.49336358,0.985282388,1.313192852,1.022289637,0.974990463,1.046289569,1.116154762,1.200515213,2.547437216,0.381061536,0.820552404,0.632502557,1.234404163,0.912504868,0.887722261,1.01566903,0.837788148,0.235956132,1.127455518,1.443305231,0.516491876,0.383761539,1.174341501,1.396851766
WT1000,0.81123916,0.933329565,1.100421893,0.821142727,0.76641507,0.917327829,0.649579573,0.580446086,0.879687149,0.801750275,0.966173612,1.222410934,0.966726511,0.964143994,0.878358362,0.757374863,0.973886671,2.314465961,0.715640604,0.492454816,1.483896734,0.955309402,0.845655304,0.728270476,0.936749433,0.940626857,0.752324988,0.652079086,0.871742729,0.787802275,1.035770397,0.981396586,0.9239336,1.407437366,0.808502898,0.934851785,1.059016486,0.562334866,1.052753239,0.974660564,1.627603543,0.813086793,0.857885745,0.893668136,0.904534727,0.768688109,0.87326688,0.769890088,1.077500442,1.529863417,1.246947068,0.776349345,1.436350454,0.75778983,0.958620951,0.991550507,1.412049406,0.981037287,0.888813728,1.41846798,0.890355063,0.567600748,0.928491642,1.121094464,0.959232216,1.070798955,1.008939108,0.684166025,0.728530365,0.977577316,0.924672766,0.884626369,0.763666828,0.989918178,0.785128966,0.951527026,0.797770604,0.910191234,0.949092147,1.002621955,0.832180506,0.930342753,0.966036341,0.873660253,0.861793325,0.534775857,0.763420284,0.790800429,0.954440097,0.698172459,0.900735638,0.986709017,0.924492489,0.890164968,1.149454767,0.375179715,0.559163241,1.241336287,0.660509416,0.865348673,0.763036118,1.160817485,0.832949863,1.018894321,0.8458644,0.749775349,0.907374635,0.823259651,1.437758613,0.859047847,0.667147425,1.805166805,0.600269279,0.204404982,0.916046279,0.486111773,1.031962924,1.107895945,1.405108171,0.871233605,1.335901437,0.787587614,0.895127532,0.851399497,0.958855138,0.823472615,0.675141969,1.040957923,0.895080568,0.996299349,1.06293149,1.031520479,1.135319614,1.138947004,1.047115051,0.765616274,0.540104021,1.040855645,1.045887962,0.956320791,0.754417826,0.878628835,0.885487901,1.071868334,1.093051857,0.563072099,0.995724219,0.835985804,1.121504035,1.517859601,0.948358537,0.925499309,0.894776181,0.92934041,0.716445857,0.656148942,1.145003366,0.93083298,0.921856213,0.847131269,0.945796539,0.928818747,1.082457452,1.134622371,1.253523513,0.698085617,0.806493029,0.600704927,1.330520466,0.897304524,0.892662781,0.970386631,0.827357299,0.279833802,1.059790989,0.935590751,0.563722744,2.865914894,0.971077246,1.118655194
WT1000,1.239354897,1.015803997,0.7235365,0.792324936,1.134990788,0.928537792,1.303607365,0.336917921,0.95772801,0.876860325,0.919366208,1.205505827,0.796766814,0.904471259,0.986335446,0.897004602,1.095880196,0.021123159,5.545210548,0.759698401,1.122474025,1.03732844,0.957745588,1.694106269,0.983623717,1.167440334,1.007715368,0.554578793,0.874197733,0.865438804,0.777218335,1.538760327,0.304624299,0.898651221,0.980563762,1.02867933,0.874863596,0.684223772,1.022315387,0.986362684,0.59513798,0.918172845,0.730962611,1.03189707,0.89356657,1.062320225,0.994263795,1.015100878,1.005651672,1.691630771,1.566606965,0.874278945,1.709193153,0.749114514,0.937421447,0.953268772,1.051359876,0.999011881,1.031482872,0.657166466,0.702281086,1.039302396,0.904563343,0.834122008,0.911349633,0.980489009,0.673557024,0.887474962,0.970515037,1.087292822,0.932435373,1.076300506,0.856771891,1.083351566,0.865552605,0.950023495,0.836861291,0.969074583,0.834951932,0.92589187,0.814939325,0.981951225,0.908075239,1.044760326,0.940195664,0.653661541,0.939593222,0.518878525,0.928440654,0.809626982,0.957801319,0.961277005,0.967754436,0.954794414,1.048380622,1.521831721,0.866450224,0.80111224,0.551314002,0.981605574,0.847864358,1.027447731,1.071671992,0.977097813,0.874679466,1.000940377,1.097858271,0.934679413,1.423761428,1.026793542,0.857436846,2.157500465,0.451752974,0.190743804,1.024355243,0.346369507,1.140118355,0.988930358,0.570046399,0.88404998,1.564830756,0.934672221,0.85828689,0.828184117,1.120136843,0.940392724,0.980178244,1.020822391,0.8830167,1.055175732,1.152098278,0.944324591,0.911974287,1.186949873,0.889145084,0.834198968,0.583422501,1.103252957,1.106109656,1.057094424,1.459406516,0.957438091,0.993523845,0.862025966,1.480866437,1.246584716,1.187959255,0.833118799,0.963643477,2.088999957,0.804939614,0.952213744,0.544790116,0.880061995,0.645377238,0.888064009,1.128556362,0.973804194,1.393334588,0.876763959,1.035952565,0.980206329,1.068931295,0.598254632,0.930491115,1.133506015,0.912143434,0.830500384,0.920131941,1.020439811,0.946408521,1.050270831,0.901268972,0.881956423,0.998749526,0.86736591,0.646043229,0.469061327,0.891946595,1.141595425
WT1000,0.979802918,0.872217517,0.791449349,0.746398607,1.008226267,0.9545128,0.889015501,1.615065207,0.976319393,0.794497528,1.097976533,1.027824909,1.104740798,1.173432546,0.876505536,0.970895858,1.272479503,2.975688043,0.853670668,1.323219303,1.139711063,1.091173001,1.097662659,0.524552283,0.613476673,1.043531036,1.010437131,1.241515824,0.860680697,0.802960804,0.904555041,0.986840684,1.0141152,0.886265182,0.845653956,0.994599344,0.831907723,0.955647746,0.993938544,1.028329971,1.036110994,0.959674433,0.837878341,0.959936914,0.984007269,1.199907921,0.969103325,0.836039098,1.152857862,2.024536774,1.671100907,0.902654245,1.349494662,0.976537611,1.072006938,1.082377475,0.786159535,0.975276725,0.992176355,0.811497438,1.513064273,0.975554505,0.933872061,0.737425969,0.958738535,0.921409708,1.043591787,0.959849117,1.337064496,1.094777997,0.885215544,0.805578078,1.022480484,1.066498264,1.015307676,0.995196476,1.063339357,0.867519944,1.130048064,1.197786898,0.926963131,1.039997404,1.114979571,1.021431297,0.97498906,0.368604573,0.838386657,0.524179326,0.9864316,0.880827779,1.149762181,1.028670305,0.971681139,0.904007369,0.863205032,0.878945789,1.165672784,0.956405556,1.089164889,0.814707933,0.963972489,1.245172485,1.140968179,1.012390693,1.004678647,0.929686845,1.251265326,1.074770398,0.890916303,1.099260112,0.795975346,0.922069554,1.371964192,0.071759486,0.912331042,1.088748453,1.113337457,0.981869412,0.719094464,0.927767426,1.317965325,0.669168325,0.798896185,0.826423014,0.873684174,1.023526359,0.958804456,0.988643498,1.012307747,1.060881137,1.386783536,1.099605796,1.064042015,1.078237311,1.227560847,0.997740568,0.39219103,1.317763764,1.351668171,1.197516599,0.655643474,1.185141729,1.14431147,1.117400439,0.967491434,0.714802782,0.926363117,0.879098884,0.95498077,1.305374926,1.335952648,0.881003958,0.873448619,1.11610443,1.367489601,0.832389505,1.222160251,0.988767363,0.948044054,0.742466653,0.954812747,1.061939954,1.066132003,0.992852007,1.995812428,0.900407942,0.817933621,0.980463487,1.616616085,0.888659916,0.888174722,0.932414697,0.828848787,0.195089755,1.232259114,0.975441354,0.517061057,1.475093392,1.24083882,1.061005613
WT1000,0.785648921,1.125715137,1.549401113,0.707468723,0.716640085,0.85598821,0.4753987,1.024254189,0.897518929,1.002194348,0.767731351,1.401648801,1.553975665,0.769679297,1.005408037,0.976880149,0.967527523,1.607678619,1.020527839,3.311894738,1.109168734,2.838147396,0.919855748,0.033978632,0.376288823,1.3111507,0.894516684,0.802805765,0.97347467,0.573174661,1.062469876,0.949017555,0.236925776,1.047894113,0.978999677,1.045127446,1.05098426,0.628549306,0.732937166,0.982556873,0.733579916,1.087822515,0.432049981,1.17419155,0.835266376,1.06444697,0.806688313,0.977406835,1.126564839,1.420817873,1.237164424,0.887016842,0.882990365,1.489416498,0.994331578,1.634915279,0.993355595,1.065715333,1.166164109,0.441936346,0.253901104,0.832908547,1.369724116,0.874034491,0.90323879,1.163645357,1.186397097,1.005145113,0.836547038,0.942665152,1.003343438,2.118644679,0.889245089,1.043254194,0.895844429,0.959509996,0.833444579,0.858073193,0.943239401,1.034905017,0.855127094,0.974010702,1.055975223,1.120649758,0.990978369,1.09903771,0.911776756,1.041840734,1.01818398,0.541038038,0.963965183,0.972153691,0.993819877,0.750493752,1.513881894,3.970943922,2.794147467,0.976590477,0.811318716,0.914956017,0.791052052,0.951024526,0.830216293,0.845439537,0.746943122,0.724570358,0.728292773,1.372847009,1.453755185,1.30554103,1.175543772,1.254204538,0.776856086,3.824598229,0.91554278,0.719350552,1.036130561,1.015431579,1.766249304,0.914056257,1.370756773,0.790936974,0.973982988,0.958432037,1.110747565,0.804953174,1.017853788,0.977683833,1.031900971,1.0414622,1.00359437,1.112470578,0.897676221,1.230386822,0.90009789,0.837959874,1.867877339,0.920845762,1.063423565,1.120861877,1.016881027,1.014244567,1.218331705,0.730875635,1.279425637,1.002550503,0.954435828,0.322590198,1.213275922,1.21184429,0.999326514,0.867631047,3.719147093,1.621090786,0.919469694,1.353504407,0.819657668,1.133423067,1.170192146,0.743050444,1.03723001,0.93017285,1.070815616,0.58657174,1.529499223,1.709729667,0.71951543,0.683322279,0.92128765,1.156656754,0.846825264,1.189747859,0.936615274,0.53183303,1.11497049,1.015523283,0.756632142,0.106728297,1.340961564,0.893109241
WT1000,0.471604106,1.059177861,1.599486045,1.192107372,0.92777702,0.907354616,0.776377789,1.257521215,0.892782261,1.059243959,1.20287857,0.958198602,0.778742238,1.1857018,1.005506873,0.983571227,1.015591459,0.014168519,1.027225914,1.533557014,1.348634957,0.715885341,0.754893327,0.882191918,1.568197933,0.915394118,0.951731394,1.15011832,0.9630379,0.866127033,0.750160729,0.814562927,2.07412322,0.917794755,0.972153833,0.981464045,0.915336287,0.827151321,0.99010654,0.921286332,0.83441763,0.780347524,1.217586017,0.77862282,0.81506599,0.88367366,0.915655636,0.999172561,0.916723919,1.800339259,1.861745273,1.139077521,1.329769782,0.767678444,0.951776895,0.834851809,1.091120275,0.978645524,0.899586771,0.939709312,0.842352986,0.641536907,1.077270399,0.845673227,0.910089745,0.891524545,0.760956038,0.900897169,0.911910546,1.046586937,1.082070828,1.157716155,0.853211965,0.99808763,0.848619303,0.886798614,0.903686648,1.104590446,0.967489131,0.86385525,0.817322468,0.835180484,0.691762697,0.771609054,0.761652059,1.619950652,1.05220839,1.494046054,0.97419137,0.861484706,0.78438765,0.90917261,0.931277988,0.985603299,0.854061053,0.63738246,0.411910144,0.769613734,0.899807321,0.782749276,0.73066289,0.561614148,0.9939965,0.847435217,0.824651128,0.856409324,0.907093152,0.82807127,0.811882922,0.931489319,0.96885268,0.952271466,1.307921369,0.227765071,1.097649072,1.035225465,0.821073284,1.165375049,1.306267313,0.96088639,0.906086221,1.313935658,0.96450601,1.011922082,0.993929136,1.065631127,0.951342875,0.893810026,0.832296693,0.947646711,0.852530215,0.913866143,0.922453578,0.702023638,0.865727477,0.898110852,1.23983739,0.714439717,0.893741857,0.891960947,0.914096809,0.98657349,0.905986813,1.11170803,0.682010045,0.911248278,1.021853615,0.740801782,0.998457803,0.622889521,0.795836874,0.967949237,0.526580569,0.73609354,1.193373998,0.808575034,1.09732543,0.904981179,1.424836006,1.604729676,1.005675015,0.950362099,0.913522217,1.064044934,1.036710795,1.039444229,0.810433548,0.914348349,1.043935893,0.900051972,0.921768347,0.987491474,0.900657331,1.603191798,0.821599409,1.47176546,0.737222119,1.21114171,0.958715249,1.112597718
Tg0,0.550477799,0.609421562,0.845185037,1.526908022,1.01460097,1.054882747,0.637770155,0.708721473,0.99382109,0.667400536,0.816137425,1.487308086,0.905958297,1.68383325,0.897259148,0.795444945,0.944121365,0.782500443,0.769026036,0.310196136,1.272578225,0.646326162,1.162351676,0.283326462,0.663936571,0.766292737,0.779736781,0.77559197,0.845441397,0.964635514,0.893944403,1.074563213,0.163463297,0.706576982,0.972464697,1.04331527,0.908656742,0.942521982,0.800924329,0.929885776,1.357626401,0.975646096,1.052420013,1.195743477,1.074528409,0.979521026,0.921533392,0.962188177,0.909975803,0.518771829,0.450469219,0.810569414,0.974199872,0.662922131,0.899433881,1.105027877,1.216079848,0.967569563,0.941573538,1.291654051,1.077859398,1.117677492,0.58235795,1.008408111,0.930608017,0.937629311,0.807942104,1.091337422,1.072922355,1.032063662,0.891659563,0.538081101,0.736666444,1.035441267,0.747656546,0.881210945,0.956177862,1.005843969,0.967833803,0.965683267,0.94505556,0.932536224,0.978344199,0.844153689,1.015275688,1.055388815,0.837696321,0.809321506,0.88333513,0.783715523,0.911803681,0.901139815,0.93794476,1.126451706,1.126997433,0.357495463,0.671203841,1.354895206,0.734625792,0.872727463,1.002898791,0.763128568,1.451146422,1.030138493,0.893345768,0.910516466,1.047202719,0.69307654,0.458087652,0.676950181,0.628563773,0.978483772,0.633800641,0.048530165,0.848537965,0.699375931,0.857525696,1.098749864,0.425164745,0.960894204,1.011103464,1.005368111,1.138516281,1.050232328,0.814760067,0.90945709,0.756014577,0.952656678,0.863970748,0.93351756,1.046100914,0.920141135,1.2529488,1.536404207,1.020893096,0.661798638,0.564251944,0.817349175,1.208632504,1.029873821,0.67247778,0.881535235,1.053028703,0.893988288,0.917892933,0.736746269,0.90328328,1.037720684,0.901008597,0.659636247,1.042761502,1.064514677,0.476737653,0.91713148,0.682053344,0.852847065,0.729765412,0.921550697,0.909386412,1.649003195,0.839674109,0.786280297,0.952158693,2.134149061,1.14373871,0.94579159,0.785673735,0.829092317,1.476733045,1.076774491,0.950087142,0.89001057,1.047755341,0.865336685,1.380606244,1.129988954,0.876715814,1.702666864,0.87252294,1.188083304
