Feature.name,CFTg107,CFTg121,CF95,FTg133,F141,CFTg135,CF108,CF92,FTg125,F138,CFTg91,CF100,CFTg134,CFTg89,FTg117,F116,F112,FTg113,FTg118,FTg126,FTg130,CF104,FTg119,CFTg136,F109,CFTg123,F129,CF98,CF93,CFTg99,F137,CFTg120,F114,CFTg106,FTg115,CF94,FTg140,CFTg122,CF101,FTg127,CF97,FTg124,F132,QC3,QC4,QC5,QC6,QC7,QC8
,Tg1000,Tg1000,WT1000,Tg0,WT0,Tg1000,WT1000,WT1000,Tg0,WT0,Tg1000,WT1000,Tg1000,Tg1000,Tg0,WT0,WT0,Tg0,Tg0,Tg0,Tg0,WT1000,Tg0,Tg1000,WT0,Tg1000,WT0,WT1000,WT1000,Tg1000,WT0,Tg1000,WT0,Tg1000,Tg0,WT1000,Tg0,Tg1000,WT1000,Tg0,WT1000,Tg0,WT0,QC,QC,QC,QC,QC,QC
v10,0.97681351,0.853686412,0.780419636,0.730219149,0.910254667,0.756005967,1.059243959,1.400861959,0.750668482,0.935808814,0.818214051,0.876860325,0.804590174,0.821074325,0.815969069,0.957540243,0.77995281,0.667400536,0.848068196,0.878200515,0.650891462,1.002194348,0.765038832,0.989586992,0.840023737,0.902439746,0.961408263,0.801750275,0.786384141,0.810320371,0.829655673,0.960682789,0.918753131,0.939403468,0.76075623,1.126703635,1.021374896,0.836034135,0.794497528,0.828284585,0.897761992,0.786679383,0.735045686,0.997779401,1.012039608,0.83429242,1.011264491,1.010888775,1.010505264
v11,0.703882689,1.121623149,1.195054872,0.818495029,0.842592066,0.976544486,1.20287857,0.88671538,0.758142992,1.38623123,0.939866936,0.919366208,1.16858878,1.110702618,1.139577712,1.27462057,0.955254145,0.816137425,0.897561839,0.893418008,0.728295051,0.767731351,0.886318925,1.160471997,1.136115907,1.025197383,0.921454441,0.966173612,0.865425105,1.307358417,1.217414551,1.096965735,1.194014692,0.826030675,1.150658336,1.136241046,1.022553384,1.255253516,1.097976533,1.120078751,1.085321754,0.862465563,1.049128737,0.984483606,0.992234495,1.006888862,0.994993584,1.006042569,1.006861312
v12,1.912937365,0.916034125,0.608955158,1.144903834,0.745631153,0.558927913,0.958198602,0.648169983,1.534951394,0.563031709,0.759008798,1.205505827,0.816996363,0.961337668,0.824962414,2.028110814,1.295370673,1.487308086,0.938142246,0.85846757,1.203072093,1.401648801,1.830246206,0.751351267,1.254375976,0.914636321,1.184392073,1.222410934,0.958436579,0.695794275,0.576657308,0.66405771,0.521485617,0.772645687,0.839377596,0.683152401,0.480124101,0.567591786,1.027824909,0.645439765,0.842720325,0.631202907,1.147417936,0.984689923,1.006990282,1.347988181,0.959218942,0.945439418,1.038781665
v13,0.701365955,0.273467452,0.604276431,1.251032692,0.7848725,1.003222477,0.778742238,1.127047582,0.701725768,0.998613958,0.998783551,0.796766814,1.11348289,1.200800724,0.817091371,0.661034049,0.545963339,0.905958297,0.980280368,1.124873366,0.94377769,1.553975665,0.909846857,1.007537133,0.807835423,1.141022704,0.702559438,0.966726511,1.145050258,0.759803914,0.866915128,1.048820421,0.337175368,1.206193444,1.497667825,1.17147688,1.180886417,1.087268508,1.104740798,0.091166923,1.16274597,0.929084012,1.04308579,1.010832958,0.984271641,0.984718373,1.01325642,1.011608376,1.012181055
v14,1.44791573,1.076322326,0.723511056,1.081954763,1.088844253,1.469183165,1.1857018,0.99394952,1.206135352,1.004175098,1.347385187,0.904471259,1.117498667,1.257339743,1.237934703,0.919889405,1.074708847,1.68383325,1.228930842,1.175888879,1.462938207,0.769679297,1.517762611,1.316778224,1.827493615,1.370664737,1.197940919,0.964143994,0.978351727,1.375023071,1.221394645,1.579326593,1.006209238,1.265785143,1.446061495,0.925698311,1.530594735,1.492969243,1.173432546,1.216233396,1.021361523,1.201353753,1.232929912,0.984001948,1.003407823,0.985542719,1.015390317,0.983512684,1.185990471
v15,1.006133536,1.143282389,1.05949976,0.871010311,1.031426209,1.066726672,1.005506873,0.995980756,0.990154615,0.980804507,0.989081884,0.986335446,1.128476441,0.937372322,0.905784446,1.089100446,1.137049617,0.897259148,1.012389023,0.889405357,0.787506272,1.005408037,0.827403045,1.129352298,1.021147046,0.943149248,0.811904454,0.878358362,1.108437277,0.880652089,1.046971867,0.872312579,1.101274558,0.779046775,1.055177909,0.926415579,0.970602753,0.842488443,0.876505536,0.990617709,0.978447077,0.902408531,0.902869384,1.004870301,1.03946639,0.991608861,1.005070374,0.994835856,1.004898431
v16,0.870487173,1.021732468,1.156116047,0.679551209,1.233114316,0.90575067,0.983571227,1.197816818,1.002133976,0.975897893,0.828958737,0.897004602,1.364373751,0.807028057,0.871583093,1.147794764,1.089901416,0.795444945,0.973168968,0.908085436,0.858888009,0.976880149,0.912784078,1.023196949,1.025491027,0.831627933,0.828218491,0.757374863,1.100437889,0.861812088,1.079563326,0.873828018,0.846723984,0.784301317,0.977384151,1.056871851,0.940307602,0.794063965,0.970895858,0.890729394,0.918333551,0.79174058,1.057035378,1.005714233,1.004483783,0.948793483,0.978023434,1.005007324,0.995446486
v17,1.114278845,0.893860322,0.867159153,1.084919068,0.934806696,0.8281843,1.015591459,1.072820332,0.814401732,0.793822659,0.866837972,1.095880196,0.981129689,0.915151119,1.177969994,1.170051469,0.909731809,0.944121365,0.904036146,0.871951396,1.067781211,0.967527523,0.913580813,0.937398834,0.903964086,0.973522115,0.914440615,0.973886671,0.887004869,0.982870447,0.8893917,0.918984034,0.951742272,1.268346158,0.881928829,1.2260288,1.082737183,0.949816139,1.272479503,1.069908847,1.12163134,1.243360326,0.903885822,0.98852465,0.967078831,1.030919544,1.004098803,1.004156237,1.004119277
v18,1.734014519,0.023711747,2.394295053,0.044724271,0.032235974,2.112371273,0.014168519,0.012156967,1.987582911,2.136545443,0.009841883,0.021123159,0.018407672,0.027043917,0.03117312,1.281916876,2.983930945,0.782500443,0.012371424,1.249048531,0.011384371,1.607678619,0.006297249,0.011156865,0.02852311,0.014978573,1.855435279,2.314465961,1.491476139,0.031733097,0.008054104,0.04615737,1.756375398,0.013867561,2.366238497,2.201560168,0.030099813,2.893473174,2.975688043,0.010196995,2.56982898,0.014480795,2.592117075,0.966634057,1.004842804,0.994440799,1.00213012,1.004612083,1.005844013
v19,0.770179106,0.725077944,0.844268207,0.781955392,1.542585473,0.626350192,1.027225914,0.747240122,0.673622903,0.782214096,0.603502156,5.545210548,0.711565842,0.42704131,0.683690569,0.582898253,0.765094213,0.769026036,0.770970836,0.65765464,0.764452943,1.020527839,0.616897374,0.858352331,0.502120633,0.82130362,0.787959874,0.715640604,0.611677003,0.551698227,0.708269698,0.895275081,0.732450596,0.75616037,0.835449914,1.004447762,0.630430709,0.608604655,0.853670668,0.63611364,0.788511999,0.692511906,0.811226311,0.983400797,0.99932015,0.984852815,0.98605594,1.012173013,1.012346753
v20,0.261306827,0.557684587,0.893782738,0.689294713,1.945784934,1.033801156,1.533557014,0.330206452,1.024886306,0.28896885,0.284108446,0.759698401,1.672019575,3.651703825,0.78617219,0.761362203,0.58569645,0.310196136,4.042072047,0.426982807,0.430796625,3.311894738,0.264260837,0.303028355,0.634964582,0.60651387,0.374226789,0.492454816,0.785648396,1.165958873,0.405660593,0.446380943,0.628567557,0.26542696,0.211266356,0.402646439,3.187598102,0.193157205,1.323219303,0.292824567,1.484888202,0.747680263,1.6669991,0.971779692,1.012129105,0.991271396,0.991806784,1.007763367,1.007706658
