,F109,F112,F114,F116,F129,F132,F137,F138,F141,CF92,CF93,CF94,CF95,CF97,CF98,CF100,CF101,CF104,CF108,FTg113,FTg115,FTg117,FTg118,FTg119,FTg124,FTg125,FTg126,FTg127,FTg130,FTg133,FTg140,CFTg89,CFTg91,CFTg99,CFTg106,CFTg107,CFTg120,CFTg121,CFTg122,CFTg123,CFTg134,CFTg135,CFTg136,QC3,QC4,QC5,QC6,QC7,QC8
Compound,WT0,WT0,WT0,WT0,WT0,WT0,WT0,WT0,WT0,WT1000,WT1000,WT1000,WT1000,WT1000,WT1000,WT1000,WT1000,WT1000,WT1000,Tg0,Tg0,Tg0,Tg0,Tg0,Tg0,Tg0,Tg0,Tg0,Tg0,Tg0,Tg0,Tg1000,Tg1000,Tg1000,Tg1000,Tg1000,Tg1000,Tg1000,Tg1000,Tg1000,Tg1000,Tg1000,Tg1000,QC,QC,QC,QC,QC,QC
GLYCINE,107.8428784,119.8786081,118.7863561,74.49582496,105.8353302,75.78470269,116.1991236,94.78974118,92.36071203,127.4222837,60.33607192,91.58053679,132.5626112,118.8103706,56.90979791,111.7785365,104.9146724,89.57398178,66.04315219,119.7648708,101.2315806,116.8994803,105.7898929,118.792527,105.5283894,108.5016274,88.50490832,70.70386462,75.21735386,83.05192528,101.7203223,105.8951714,145.9532391,96.04947558,107.6817691,134.7212368,140.9418993,111.9281074,136.5478216,65.39641285,70.76525545,76.18484969,95.29448699,74.42596013,92.44250861,49.37407672,183.0668525,102.7220059,114.6756148
GLYCOCHOLATE,143.7728556,113.1491396,105.4993741,149.6060305,99.61973781,106.1120597,165.155234,159.0034917,184.017207,211.1849437,152.2775655,184.8992801,149.336263,117.8689359,137.3624905,138.5257237,141.7689162,206.3126386,152.9958061,86.79747517,130.1752381,582.6256388,107.2954365,120.9147694,98.75998805,114.1934951,127.1037601,130.2814831,93.87799394,76.29702879,132.8953507,112.1953768,117.4012703,98.83768455,135.8972193,136.7154958,128.4640203,133.6658624,103.9616079,195.8771934,134.2783974,95.27438083,124.6124698,138.8355372,143.4372472,130.1346086,129.1354433,171.9400397,171.0604375
GUANINE,254.2631886,262.3092816,213.2742872,193.4986968,261.4437189,213.0186097,203.9811321,155.468889,194.9385742,272.4629257,205.2194481,177.7755268,176.9540314,225.5434565,269.2734436,217.79233,194.9402176,231.0724628,214.5649045,266.1466214,228.1079695,217.2410785,280.0168316,237.1157907,255.6365829,164.047195,205.078222,282.3853183,198.7109335,348.8175656,273.1372834,202.7577084,262.7256033,264.8182814,269.9574266,348.4883792,184.5863032,247.9605292,170.3609528,259.0800733,234.6678131,267.8001005,196.7592517,209.0486719,217.0380717,220.2264796,357.8253039,255.4422363,318.6150769
Guanosine,1671.890406,1510.725046,1471.40775,1584.958489,1643.724932,1647.937839,1591.359752,1349.045591,1339.031445,1968.688857,1567.718367,1606.273561,1532.949133,1499.875077,1525.215949,1484.067171,1572.174609,1492.534353,1489.248048,1521.79004,1700.747118,1471.641028,1537.999932,1493.590452,1947.196263,1243.587583,1591.175466,1927.423943,1642.37334,1579.752143,1906.070149,1369.528499,1361.431789,1489.125268,1673.551961,1733.442681,1530.679475,1602.28343,1403.855398,1684.168365,1296.559761,1321.886906,1327.320867,1423.754636,1617.240825,1645.024082,1652.181413,1744.203228,1821.230706
HISTIDINE,1215.672562,1246.16575,991.717017,1329.786188,1101.407742,1132.650727,1230.941728,1424.013053,1151.287442,1483.82044,1365.556479,1437.110165,1072.101525,1229.843073,1314.909283,1239.893114,1168.228133,1485.704377,1125.378758,1181.138359,1314.665423,1335.62522,1312.291563,1119.597554,1225.8266,1372.3117,1226.065054,1170.44893,1181.492869,1301.78559,1240.622356,1365.663973,1301.409751,1083.442486,1128.206067,1136.169484,1115.652574,1338.696925,1193.244063,1241.803612,1400.815405,1517.174131,1232.951678,1177.724203,1213.079669,1285.549715,1288.703227,1364.946611,1370.956802
Homoanserine,704.1018653,581.6042468,574.1234909,554.9664724,567.1679996,558.4306131,838.1316287,622.2747247,672.5795239,834.1670977,693.499861,815.6563864,618.0218627,759.971154,747.1745764,498.8059131,768.8435742,879.3310893,557.2339585,582.7979829,679.9426782,752.2621747,740.544792,759.4202855,666.818893,840.4070131,771.9380337,732.9648718,555.9971673,905.446034,787.7005829,826.7308711,614.1952664,561.6292271,650.4661588,748.8446799,560.53743,789.5156216,803.5563379,619.2512511,797.3624803,754.2438602,655.6268495,689.5942834,653.7336839,703.2413668,746.7644902,832.7155896,772.8531627
HYPOXANTHINE,39658.43265,63196.7733,50006.4053,45477.17749,45838.87826,49974.31209,47473.70528,45326.91424,44905.27245,55569.695,41305.22285,61489.9931,47571.93893,41114.93886,32601.00045,42086.10999,45666.00085,47891.00848,42924.02579,51996.1468,53013.88163,44634.67658,44922.73141,36583.28701,42283.27915,46450.64096,44596.81676,54147.87495,46007.86515,55399.20421,55909.47499,50414.69761,41574.39497,37230.06689,53129.68725,38799.48831,42208.10363,33588.9021,44636.73344,55348.83037,48946.42357,52281.9286,37546.98991,47541.33671,54877.21468,40122.65503,53228.08676,53580.54713,44442.65293
INOSINE,3409.684521,3578.39364,3427.349158,3664.011966,3407.051077,3293.411195,3570.263773,3441.796898,3850.172693,3847.687888,2765.703576,3344.566418,2618.593728,3217.465668,2394.472764,3189.843758,4317.346577,2744.586848,2994.816029,3526.371707,2950.944051,3532.943174,4003.991575,2484.532491,2710.450671,2718.790611,3101.863795,3480.249726,3203.087742,4293.84036,3548.048584,2916.274517,2743.092375,3377.984254,4209.320423,3149.709815,2653.917076,2568.708041,2765.726244,4423.000886,3192.001955,3235.493345,2979.243518,2602.346741,3633.614587,3280.957544,3776.677904,3468.55043,3291.934543
JASMONATE,123.1316394,164.1287744,130.2901299,175.9709445,129.0439417,139.2054171,138.7640918,128.9670312,157.3727838,154.3234467,139.6256645,183.9253151,145.3425776,145.6954565,157.9023971,175.624107,171.993618,152.3553096,161.1666831,147.5484793,158.2510138,176.9381957,138.6493077,136.022506,187.4638931,124.2472388,146.4218128,147.0471291,155.755006,174.401342,153.4684941,140.6748607,135.4263484,140.0608573,190.9614662,145.1337795,146.821724,125.783809,127.2808126,140.9209747,141.7780855,136.4418064,152.8361486,113.3502204,147.3804247,165.6016671,178.8901988,179.9333329,172.365717
L-AMINOCYCLOPROPANE-1-CARBOXYLATE,3587.567388,3550.791841,3359.672861,3131.32806,4075.443355,3740.092862,3685.665803,3787.511362,3593.09498,4284.207407,3681.543122,3479.64175,3384.121297,3420.463561,3541.362707,3570.880486,3390.259119,3842.676955,4144.19078,3414.939693,3542.598262,3863.034202,3481.955871,3600.901243,3395.254596,3301.372569,3498.742595,3893.576617,3606.099994,3673.059748,3659.935,3586.490364,3982.383912,3553.360159,3406.619561,4274.914062,3490.070388,3909.109901,3584.550464,4134.380063,3585.357872,3753.177081,3450.944229,3765.117529,3883.864471,3695.688475,3801.034841,3887.828873,3899.470429
