Data,F109,F112,F114,F116,F129,F132,F137,F138,F141,CF92,CF93,CF94,CF95,CF97,CF98,CF100,CF101,CF104,CF108
,WT0,WT0,WT0,WT0,WT0,WT0,WT0,WT0,WT0,WT1000,WT1000,WT1000,WT1000,WT1000,WT1000,WT1000,WT1000,WT1000,WT1000
17,0.903964086,0.909731809,0.951742272,1.170051469,0.914440615,0.903885822,0.8893917,0.793822659,0.934806696,1.072820332,0.887004869,1.2260288,0.867159153,1.12163134,0.973886671,1.095880196,1.272479503,0.967527523,1.015591459
18,0.02852311,2.983930945,1.756375398,1.281916876,1.855435279,2.592117075,0.008054104,2.136545443,0.032235974,0.012156967,1.491476139,2.201560168,2.394295053,2.56982898,2.314465961,0.021123159,2.975688043,1.607678619,0.014168519
19,0.502120633,0.765094213,0.732450596,0.582898253,0.787959874,0.811226311,0.708269698,0.782214096,1.542585473,0.747240122,0.611677003,1.004447762,0.844268207,0.788511999,0.715640604,5.545210548,0.853670668,1.020527839,1.027225914
20,0.634964582,0.58569645,0.628567557,0.761362203,0.374226789,1.6669991,0.405660593,0.28896885,1.945784934,0.330206452,0.785648396,0.402646439,0.893782738,1.484888202,0.492454816,0.759698401,1.323219303,3.311894738,1.533557014
21,1.054394245,0.796571289,0.553563666,1.031087914,0.934808271,0.722122829,1.156324233,1.178685347,0.751828909,1.331254936,1.085356453,0.870648368,1.137242191,0.834685245,1.483896734,1.122474025,1.139711063,1.109168734,1.348634957
22,0.971112709,1.168658803,0.899719956,0.793108333,0.705788219,0.568798383,0.792416197,1.406802336,0.851440108,1.146376528,1.106434629,1.310255243,0.990820228,1.047479763,0.955309402,1.03732844,1.091173001,2.838147396,0.715885341
23,0.96865109,0.87556159,0.873525577,0.917661903,0.972888386,1.152624064,0.926458759,0.966548632,1.029177481,1.210256045,0.826399089,0.941721979,0.930440786,0.913603457,0.845655304,0.957745588,1.097662659,0.919855748,0.754893327
24,1.065508591,0.765452118,1.047245465,0.944763456,2.138318881,0.878184343,0.648044054,0.938629897,1.21008388,1.202656244,0.986699282,0.895129867,0.876726216,1.982682257,0.728270476,1.694106269,0.524552283,0.033978632,0.882191918
25,1.224086444,1.471098299,1.243584562,1.550974633,1.948434106,1.178206344,0.911047702,0.789783936,1.066922164,1.354003147,1.693486752,1.149602987,1.360062759,1.570899004,0.936749433,0.983623717,0.613476673,0.376288823,1.568197933
26,0.960908786,1.028612353,0.970697629,0.982511126,0.857254117,1.048159503,1.121134212,1.212764986,0.911882199,1.528573355,1.046939995,1.254603937,1.061919131,1.108157416,0.940626857,1.167440334,1.043531036,1.3111507,0.915394118
27,0.914780741,1.132145746,0.955579503,0.798218716,0.831746297,1.148334832,1.015269828,1.013680376,1.074656981,1.062253425,0.980554667,1.137708636,1.0997273,1.053021097,0.752324988,1.007715368,1.010437131,0.894516684,0.951731394
28,0.859220939,1.057301172,0.580555705,1.543085996,0.864557264,1.67617253,0.87689298,1.227313421,0.200442444,1.751955075,1.611439719,1.74170728,1.212071744,1.433767263,0.652079086,0.554578793,1.241515824,0.802805765,1.15011832
29,1.030030038,1.244668436,0.887901902,1.016183596,0.923035224,0.924783371,0.948853921,1.063996926,0.992448749,1.210189707,0.896472724,1.053196248,1.008184922,0.950194273,0.871742729,0.874197733,0.860680697,0.97347467,0.9630379
30,0.927625643,1.074771193,0.766618542,1.201606754,0.95805998,0.925403832,0.979904541,0.928243126,0.739057805,1.266052826,0.954095435,0.992744875,0.982632762,1.005678526,0.787802275,0.865438804,0.802960804,0.573174661,0.866127033
31,0.793358306,1.181088873,1.019207405,0.783823421,1.07659627,1.297347402,0.835223835,0.866652334,0.946173464,0.650571775,0.727576483,0.811459477,1.094700812,1.087560268,1.035770397,0.777218335,0.904555041,1.062469876,0.750160729
32,1.182540883,1.231378586,2.299875744,0.865459641,1.200870385,1.016051745,1.062735259,1.038846459,1.270783714,1.209095958,1.11633609,1.118845329,1.07593364,1.137938246,0.981396586,1.538760327,0.986840684,0.949017555,0.814562927
33,0.885985653,1.697529424,1.620921349,0.435886021,1.226748886,0.856699484,1.233703428,0.984597426,0.980787672,0.459996946,0.899972447,1.153536145,0.561182321,1.296993887,0.9239336,0.304624299,1.0141152,0.236925776,2.07412322
34,1.120793055,0.942804458,0.636855787,0.98918378,0.775725249,0.851531762,0.819050164,1.298785336,1.208211166,1.243791087,1.229622322,0.98964558,0.650492759,0.871920467,1.407437366,0.898651221,0.886265182,1.047894113,0.917794755
35,1.032150111,1.009069937,0.964179378,0.768294194,1.002098782,0.848528949,0.873046579,1.002719967,0.733347302,1.109595264,0.766531362,0.794988974,1.004631889,0.796924312,0.808502898,0.980563762,0.845653956,0.978999677,0.972153833
36,0.946655413,0.909340005,1.019069723,1.073015088,0.934331159,0.963683334,1.088942215,1.007185234,1.134633536,1.098576218,1.026283187,1.087752912,1.017082999,0.968962083,0.934851785,1.02867933,0.994599344,1.045127446,0.981464045
